#options: 1080x1920 fps=120/1 timebase=1/120 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1254 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:116 out:113 type:P dur:8 cpbdur:8 q:35.57 aq:26.10 tex:32391 mv:19607 misc:6194 imb:1729 pmb:1122 smb:5309 d:- ref:0 ;
in:114 out:114 type:B dur:8 cpbdur:8 q:35.70 aq:25.52 tex:2353 mv:5318 misc:2777 imb:102 pmb:499 smb:7559 d:- ref:0 ;
in:113 out:115 type:b dur:8 cpbdur:8 q:35.76 aq:26.55 tex:1310 mv:3030 misc:1972 imb:33 pmb:365 smb:7762 d:- ref:0 ;
in:115 out:116 type:b dur:8 cpbdur:8 q:35.63 aq:24.67 tex:1318 mv:3074 misc:2096 imb:62 pmb:340 smb:7758 d:- ref:0 ;
in:120 out:117 type:P dur:8 cpbdur:8 q:35.15 aq:25.59 tex:53478 mv:28307 misc:5455 imb:3241 pmb:1408 smb:3511 d:- ref:0 ;
in:118 out:118 type:B dur:8 cpbdur:8 q:35.36 aq:24.49 tex:4980 mv:7689 misc:3939 imb:234 pmb:699 smb:7227 d:- ref:0 ;
in:117 out:119 type:b dur:8 cpbdur:8 q:35.47 aq:24.85 tex:1425 mv:3736 misc:2319 imb:61 pmb:400 smb:7699 d:- ref:0 ;
in:119 out:120 type:b dur:8 cpbdur:8 q:35.25 aq:23.84 tex:4213 mv:5625 misc:3674 imb:166 pmb:668 smb:7326 d:- ref:0 ;
in:124 out:121 type:P dur:8 cpbdur:8 q:34.88 aq:25.69 tex:62436 mv:20432 misc:5708 imb:1165 pmb:1658 smb:5337 d:- ref:0 ;
in:122 out:122 type:B dur:8 cpbdur:8 q:35.01 aq:24.97 tex:4085 mv:8016 misc:3739 imb:167 pmb:726 smb:7267 d:- ref:0 ;
in:121 out:123 type:b dur:8 cpbdur:8 q:35.08 aq:24.65 tex:1299 mv:3607 misc:2278 imb:44 pmb:413 smb:7703 d:- ref:0 ;
in:123 out:124 type:b dur:8 cpbdur:8 q:34.95 aq:23.20 tex:1021 mv:2860 misc:1983 imb:34 pmb:324 smb:7802 d:- ref:0 ;
in:128 out:125 type:P dur:8 cpbdur:8 q:34.62 aq:24.58 tex:41387 mv:21264 misc:6685 imb:1503 pmb:1577 smb:5080 d:- ref:0 ;
in:126 out:126 type:B dur:8 cpbdur:8 q:34.75 aq:23.98 tex:2975 mv:7539 misc:4030 imb:166 pmb:766 smb:7228 d:- ref:0 ;
in:125 out:127 type:b dur:8 cpbdur:8 q:34.82 aq:24.83 tex:890 mv:3728 misc:2278 imb:39 pmb:406 smb:7715 d:- ref:0 ;
in:127 out:128 type:b dur:8 cpbdur:8 q:34.69 aq:23.20 tex:1083 mv:2877 misc:2160 imb:31 pmb:354 smb:7775 d:- ref:0 ;
in:132 out:129 type:P dur:8 cpbdur:8 q:34.21 aq:25.14 tex:67322 mv:17717 misc:5769 imb:1140 pmb:1694 smb:5326 d:- ref:0 ;
in:130 out:130 type:B dur:8 cpbdur:8 q:34.42 aq:23.66 tex:4790 mv:7878 misc:4188 imb:253 pmb:696 smb:7211 d:- ref:0 ;
